date,open,high,low,close,volume,adjusted_close,dividend
2020-01-03,289.46,300.6,285.22,297.43,131852981,297.43,0.0
2020-01-10,293.79,312.67,292.75,310.33,168452059,310.33,0.0
2020-01-17,311.64,318.74,309.55,318.73,162824452,318.73,0.0
2020-01-24,317.19,323.33,315.65,318.31,115445527,318.31,0.0
2020-01-31,310.06,327.85,304.88,309.51,216776323,309.51,0.0
2020-02-07,304.3,325.22,302.22,320.03,163134650,320.03,0.0
2020-02-14,314.18,327.22,313.85,324.95,123065907,324.95,0.0
2020-02-21,315.36,324.65,310.5,313.05,119254440,313.05,0.0
2020-02-28,297.26,304.18,256.37,273.36,349768234,273.36,0.0
2020-03-06,282.28,304.0,277.72,289.03,323450224,289.03,0.0
2020-03-13,263.75,286.44,248.0,277.97,404405247,277.97,0.0
2020-03-20,241.95,259.08,228.0,229.24,405065837,229.24,0.0
2020-03-27,228.08,258.68,212.61,247.74,346165813,247.74,0.0
2020-04-03,250.74,262.49,236.9,241.41,209252759,241.41,0.0
2020-04-09,250.9,271.7,249.38,267.99,183929846,267.99,0.0
2020-04-17,268.31,288.25,265.83,282.8,207386812,282.8,0.0
2020-04-24,277.95,283.01,265.43,282.97,169846750,282.97,0.0
2020-05-01,281.8,299.0,278.2,289.07,197513427,289.07,0.0
2020-05-08,289.17,310.35,286.32,310.13,168228968,310.13,0.0
2020-05-15,308.1,319.69,300.21,307.71,208536826,307.71,0.0
2020-05-22,313.17,320.89,310.32,318.89,133274690,318.89,0.0
2020-05-29,323.5,324.24,313.09,317.94,131465363,317.94,0.0
2020-06-05,317.75,331.75,317.21,331.5,124490802,331.5,0.0
2020-06-12,330.25,354.77,327.32,338.8,202956789,338.8,0.0
2020-06-19,333.25,356.56,332.58,349.72,194985086,349.72,0.0
2020-06-26,351.34,372.38,351.15,353.63,220750873,353.63,0.0
2020-07-02,353.25,370.47,351.28,364.11,124222310,364.11,0.0
2020-07-10,370.0,385.27,369.87,383.68,141212101,383.68,0.0
2020-07-17,389.06,399.82,375.51,385.31,179660754,385.31,0.0
2020-07-24,385.67,397.0,356.58,370.46,165885792,370.46,0.0
2020-07-31,374.84,425.66,372.99,425.04,211898609,425.04,0.0
2020-08-07,432.8,457.65,431.57,444.45,250852555,444.45,0.0
2020-08-14,450.4,464.17,436.4267,459.63,235474473,459.63,0.0
2020-08-21,464.25,499.472,455.8501,497.48,208464758,497.48,0.0
2020-08-28,514.79,515.14,492.21,499.23,265909531,499.23,0.0
2020-09-04,127.58,137.98,110.89,120.96,1166301669,120.96,0.0
2020-09-11,113.95,120.5,110.0,112.0,771441734,112.0,0.0
2020-09-18,114.72,118.829,106.09,106.84,944934651,106.84,0.0
2020-09-25,104.54,112.86,103.1,112.28,847212649,112.28,0.0
2020-10-02,115.01,117.72,112.22,113.02,641240539,113.02,0.0
2020-10-09,113.91,117.0,112.25,116.97,548575054,116.97,0.0
2020-10-16,120.06,125.39,118.15,119.02,881572555,119.02,0.0
2020-10-23,119.96,120.419,114.28,115.04,519569644,115.04,0.0
2020-10-30,114.01,117.28,107.72,108.86,684767901,108.86,0.0
2020-11-06,109.11,119.62,107.32,118.69,609571825,118.69,0.0
2020-11-13,120.5,121.99,114.13,119.26,589872919,119.26,0.0
2020-11-20,118.92,120.99,116.81,117.34,389493361,117.34,0.0
2020-11-27,117.18,117.6202,112.59,116.59,364376131,116.59,0.0
2020-12-04,116.97,123.78,116.81,122.25,541563385,122.25,0.0
2020-12-11,122.31,125.95,120.15,122.41,452278651,122.41,0.0
2020-12-18,122.6,129.58,121.54,126.655,621758148,126.655,0.0
2020-12-24,125.02,134.405,123.449,131.97,433757134,131.97,0.0
2020-12-31,133.99,138.789,131.72,132.69,439740666,132.69,0.0
2021-01-08,133.52,133.6116,126.382,132.05,610791157,132.05,0.0
2021-01-15,129.19,131.45,126.86,127.14,481518252,127.14,0.0
2021-01-22,127.78,139.85,126.938,139.07,430065722,139.07,0.0
2021-01-29,143.07,145.09,130.21,131.96,716990967,131.96,0.0
2021-02-05,133.75,137.42,130.93,136.76,438264070,136.76,0.0
2021-02-12,136.03,137.877,133.6921,135.37,344357350,135.37,0.0
2021-02-19,135.49,136.01,127.41,129.87,362474097,129.87,0.0
2021-02-26,128.01,129.72,118.39,121.26,680391444,121.26,0.0
2021-03-05,123.75,128.72,117.57,121.42,663456753,121.42,0.0
2021-03-12,120.93,123.21,116.21,121.03,586977280,121.03,0.0
2021-03-19,121.41,127.22,119.675,119.99,626770404,119.99,0.0
2021-03-26,120.33,124.24,118.92,121.21,488825826,121.21,0.0
2021-04-01,121.65,124.18,118.86,123.0,359904082,123.0,0.0
2021-04-09,123.87,133.04,123.07,132.995,447820438,132.995,0.0
2021-04-16,132.52,135.0,130.63,134.16,444178798,134.16,0.0
2021-04-23,133.51,135.53,131.3001,134.32,421246935,134.32,0.0
2021-04-30,134.83,137.07,131.065,131.46,501621389,131.46,0.0
2021-05-07,132.04,134.07,126.7,130.21,453802325,130.21,0.0
2021-05-14,129.41,129.54,122.25,127.45,514165627,127.45,0.0
2021-05-21,126.82,128.0,122.86,125.43,386352101,125.43,0.0
2021-05-28,126.01,128.32,124.55,124.61,357615057,124.61,0.0
2021-06-04,125.08,126.16,123.13,125.89,278314493,125.89,0.0
2021-06-11,126.17,128.46,124.8321,127.35,327048055,127.35,0.0
2021-06-18,127.82,132.55,127.07,130.46,456667151,130.46,0.0
2021-06-25,130.3,134.64,129.21,133.11,354155878,133.11,0.0
2021-07-02,133.41,140.0,133.35,139.96,321360130,139.96,0.0
2021-07-09,140.07,145.65,140.07,145.11,418559640,145.11,0.0
2021-07-16,146.21,150.0,143.63,146.39,504249326,146.39,0.0
2021-07-23,143.75,148.7177,141.67,148.56,441563639,148.56,0.0
2021-07-30,148.27,149.83,142.54,145.86,420947531,145.86,0.0
2021-08-06,146.36,148.045,145.18,146.14,284559337,146.14,0.0
2021-08-13,146.2,149.4444,145.3,149.1,299050639,149.1,0.0
2021-08-20,148.535,151.68,144.5,148.19,429624447,148.19,0.0
2021-08-27,148.31,150.86,146.83,148.6,272129118,148.6,0.0
2021-09-03,149.0,154.98,148.61,154.3,386760934,154.3,0.0
2021-09-10,154.97,157.26,148.7,148.97,354897433,148.97,0.0
2021-09-17,150.63,151.42,145.76,146.06,492884912,146.06,0.0
2021-09-24,143.8,147.4701,141.27,146.92,394033205,146.92,0.0
2021-10-01,145.47,145.96,139.1101,142.65,441421358,142.65,0.0
2021-10-08,141.76,144.215,138.27,142.9,382910000,142.9,0.0
2021-10-15,142.27,144.895,139.2,144.84,354098233,144.84,0.0
2021-10-22,143.445,150.18,143.16,148.69,340691290,148.69,0.0
2021-10-29,148.68,153.165,146.4128,149.8,392739936,149.8,0.0
2021-11-05,148.985,152.43,147.8,151.28,322688958,151.28,0.0
2021-11-12,151.41,151.57,147.48,149.99,281026556,149.99,0.0
2021-11-19,150.37,161.02,149.34,160.55,462419283,160.55,0.0
2021-11-26,161.68,165.7,156.36,156.81,359933163,156.81,0.0
2021-12-03,159.37,170.3,157.8,161.84,669981566,161.84,0.0
2021-12-10,164.29,179.63,164.28,179.45,569227705,179.45,0.0
2021-12-17,181.115,182.13,169.69,171.14,769789942,171.14,0.0
2021-12-23,168.28,176.8499,167.46,176.28,359176889,176.28,0.0
2021-12-31,177.085,181.33,177.07,177.57,337847299,177.57,0.0
2022-01-07,177.83,182.94,171.03,172.17,482162362,172.17,0.0
2022-01-14,169.08,177.18,168.17,173.07,422454950,173.07,0.0
2022-01-21,171.51,172.54,162.3,162.41,397684401,162.41,0.0
2022-01-28,160.02,170.35,154.7,170.33,688670659,170.33,0.0
2022-02-04,170.16,176.2399,169.51,172.39,458553231,172.39,0.0
2022-02-11,172.86,176.65,168.04,168.64,412902045,168.64,0.0
2022-02-18,167.37,173.34,166.19,167.3,364011266,167.3,0.0
2022-02-25,164.98,166.69,152.0,164.85,413588646,164.85,0.0
2022-03-04,163.06,168.91,161.97,163.17,418753837,163.17,0.0
2022-03-11,163.36,165.02,154.5,154.73,521334165,154.73,0.0
2022-03-18,151.45,164.48,150.1,163.98,501667481,163.98,0.0
2022-03-25,163.51,175.28,163.015,174.72,438484780,174.72,0.0
2022-04-01,172.17,179.61,171.94,174.31,465395123,174.31,0.0
2022-04-08,174.57,178.49,169.2,170.09,390677922,170.09,0.0
2022-04-14,168.71,171.27,165.04,165.29,297460188,165.29,0.0
2022-04-22,163.92,171.53,161.5,161.79,376576076,161.79,0.0
2022-04-29,161.12,166.2,155.38,157.65,540082324,157.65,0.0
2022-05-06,156.71,166.48,153.27,157.28,566193362,157.28,0.0
2022-05-13,154.925,156.74,138.8,147.11,686227375,147.11,0.0
2022-05-20,145.55,149.77,132.61,137.59,548244690,137.59,0.0
2022-05-27,137.79,149.68,137.14,149.64,495921758,149.64,0.0
2022-06-03,149.07,151.74,144.46,145.38,338923395,145.38,0.0
2022-06-10,147.03,149.8697,137.06,137.13,354396344,137.13,0.0
2022-06-17,132.87,137.34,129.04,131.56,541006195,131.56,0.0
2022-06-24,133.42,141.91,133.32,141.66,315960327,141.66,0.0
2022-07-01,142.695,143.49,133.7737,138.93,373781666,138.93,0.0
2022-07-08,137.77,147.55,136.93,147.04,278295402,147.04,0.0
2022-07-15,145.67,150.86,142.1201,150.17,366480107,150.17,0.0
2022-07-22,150.74,156.28,146.7,154.09,360988692,154.09,0.0
2022-07-29,154.01,163.63,150.8,162.51,370548915,162.51,0.0
2022-08-05,161.01,167.19,159.63,165.35,322415021,165.35,0.0
2022-08-12,166.37,172.17,163.25,172.1,318856922,172.1,0.0
2022-08-19,171.52,176.15,171.3101,171.52,322647151,171.52,0.0
2022-08-26,169.69,171.05,163.56,163.62,307194601,163.62,0.0
2022-09-02,161.145,162.9,154.67,155.81,389809404,155.81,0.0
2022-09-09,156.47,157.82,152.68,157.37,313749966,157.37,0.0
2022-09-16,159.59,164.26,148.37,150.7,568337936,150.7,0.0
2022-09-23,149.31,158.74,148.56,150.43,473155533,150.43,0.0
2022-09-30,149.66,154.72,138.0,138.2,577537048,138.2,0.0
2022-10-07,138.21,147.54,137.685,140.09,435940423,140.09,0.0
2022-10-14,140.42,144.52,134.37,138.38,424188362,138.38,0.0
2022-10-21,141.065,147.8479,140.27,147.27,397216487,147.27,0.0
2022-10-28,147.185,157.5,144.13,155.74,513092901,155.74,0.0
2022-11-04,153.155,155.45,134.38,138.38,510660451,138.38,0.0
2022-11-11,137.11,150.01,134.5933,149.7,461034592,149.7,0.0
2022-11-18,148.97,153.59,146.15,151.29,382679685,151.29,0.0
2022-11-25,150.16,151.83,146.925,148.11,204025457,148.11,0.0
2022-12-02,145.14,149.13,140.355,147.81,401189067,147.81,0.0
2022-12-09,147.77,150.9199,140.0,142.16,341500071,142.16,0.0
