date,open,high,low,close,volume,adjusted_close,dividend
2020-01-03,1874.0,1898.01,1832.23,1874.97,13990200,1874.97,0.0
2020-01-10,1860.0,1917.82,1860.0,1883.16,17743595,1883.16,0.0
2020-01-17,1891.31,1898.0,1855.09,1864.72,15753709,1864.72,0.0
2020-01-24,1865.0,1902.5,1847.44,1861.64,13110822,1861.64,0.0
2020-01-31,1820.0,2055.72,1815.34,2008.72,30332660,2008.72,0.0
2020-02-07,2010.6,2098.53,2000.25,2079.28,23842907,2079.28,0.0
2020-02-14,2085.01,2185.95,2084.96,2134.87,19774470,2134.87,0.0
2020-02-21,2125.02,2185.1,2088.0,2095.97,13294317,2095.97,0.0
2020-02-28,2003.18,2039.3,1811.13,1883.75,35644283,1883.75,0.0
2020-03-06,1906.49,1996.33,1869.5,1901.09,29090851,1901.09,0.0
2020-03-13,1773.86,1894.27,1675.0,1785.0,40749312,1785.0,0.0
2020-03-20,1641.51,1957.0,1626.03,1846.09,49648484,1846.09,0.0
2020-03-27,1827.75,1956.49,1812.0,1900.1,33057657,1900.1,0.0
2020-04-03,1922.83,1993.02,1889.15,1906.59,23317443,1906.59,0.0
2020-04-09,1936.0,2053.0,1930.02,2042.76,19520094,2042.76,0.0
2020-04-17,2040.0,2461.0,2038.0,2375.0,41638680,2375.0,0.0
2020-04-24,2389.95,2444.98,2279.66,2410.22,26364017,2410.22,0.0
2020-05-01,2443.2,2475.0,2258.19,2286.04,34813900,2286.04,0.0
2020-05-08,2256.38,2387.24,2256.38,2379.61,17833875,2379.61,0.0
2020-05-15,2374.7,2419.67,2337.8,2409.78,19000145,2409.78,0.0
2020-05-22,2404.35,2525.45,2384.01,2436.88,20666695,2436.88,0.0
2020-05-29,2458.0,2462.0,2330.0,2442.37,15347563,2442.37,0.0
2020-06-05,2448.0,2507.54,2437.13,2483.0,14394114,2483.0,0.0
2020-06-12,2500.2,2722.35,2487.34,2545.02,25328869,2545.02,0.0
2020-06-19,2526.6,2697.43,2508.0,2675.01,18693037,2675.01,0.0
2020-06-26,2684.5,2796.0,2669.0,2692.87,21436533,2692.87,0.0
2020-07-02,2690.01,2955.56,2630.08,2890.3,20951198,2890.3,0.0
2020-07-10,2934.97,3215.0,2930.0,3200.0,29050860,3200.0,0.0
2020-07-17,3251.06,3344.29,2918.23,2961.97,31854446,2961.97,0.0
2020-07-24,3000.2,3240.58,2888.0,3008.91,28958005,3008.91,0.0
2020-07-31,3062.0,3246.82,2995.76,3164.68,24482837,3164.68,0.0
2020-08-07,3180.51,3247.47,3101.21,3167.46,21575711,3167.46,0.0
2020-08-14,3170.31,3217.5211,3073.0,3148.02,16313326,3148.02,0.0
2020-08-21,3173.12,3320.0,3154.1775,3284.72,19115341,3284.72,0.0
2020-08-28,3310.15,3453.0,3257.5608,3401.8,22329616,3401.8,0.0
2020-09-04,3408.99,3552.25,3111.13,3294.62,28536635,3294.62,0.0
2020-09-11,3144.0,3349.89,3083.98,3116.22,21707603,3116.22,0.0
2020-09-18,3172.9372,3187.39,2905.54,2954.91,28423950,2954.91,0.0
2020-09-25,2906.5,3133.99,2871.0,3095.13,28864000,3095.13,0.0
2020-10-02,3148.85,3224.0,3117.1684,3125.0,23208684,3125.0,0.0
2020-10-09,3145.84,3288.99,3090.0,3286.65,21253613,3286.65,0.0
2020-10-16,3349.94,3496.24,3160.0,3272.71,31635612,3272.71,0.0
2020-10-23,3299.61,3329.0,3121.94,3204.4,22004732,3204.4,0.0
2020-10-30,3198.74,3291.66,3019.0,3036.15,30773138,3036.15,0.0
2020-11-06,3061.74,3366.8,2950.12,3311.37,29430886,3311.37,0.0
2020-11-13,3231.03,3289.0,3019.4828,3128.81,26282080,3128.81,0.0
2020-11-20,3093.2,3189.25,3072.685,3099.4,16560655,3099.4,0.0
2020-11-27,3116.6986,3216.19,3065.46,3195.34,14463046,3195.34,0.0
2020-12-04,3208.48,3248.95,3125.55,3162.58,17492424,3162.58,0.0
2020-12-11,3156.48,3184.13,3072.82,3116.42,16233336,3116.42,0.0
2020-12-18,3143.0,3263.51,3126.0,3201.65,21377156,3201.65,0.0
2020-12-24,3200.01,3226.9666,3166.0,3172.69,9764331,3172.69,0.0
2020-12-31,3194.0,3350.65,3172.69,3256.93,16660177,3256.93,0.0
2021-01-08,3270.0,3272.0,3131.16,3182.7,18514101,3182.7,0.0
2021-01-15,3148.01,3189.95,3086.0,3104.25,17723802,3104.25,0.0
2021-01-22,3107.0,3348.55,3096.0,3292.23,16381942,3292.23,0.0
2021-01-29,3328.5,3363.89,3184.55,3206.2,18807935,3206.2,0.0
2021-02-05,3242.36,3434.0,3235.025,3352.15,24724178,3352.15,0.0
2021-02-12,3358.5,3364.9999,3233.31,3277.71,13198676,3277.71,0.0
2021-02-19,3254.05,3338.0,3245.75,3249.9,13175313,3249.9,0.0
2021-02-26,3208.13,3232.3199,3036.7,3092.93,19795218,3092.93,0.0
2021-03-05,3127.89,3163.52,2881.0001,3000.46,20188579,3000.46,0.0
2021-03-12,3015.0,3131.7843,2951.31,3089.49,16425808,3089.49,0.0
2021-03-19,3074.57,3173.05,3016.63,3074.96,16858321,3074.96,0.0
2021-03-26,3067.85,3182.0,2996.0,3052.03,16554816,3052.03,0.0
2021-04-01,3055.4394,3162.44,3028.445,3161.0,11117785,3161.0,0.0
2021-04-09,3173.0,3372.2,3161.24,3372.2,16372481,3372.2,0.0
2021-04-16,3355.21,3432.0,3326.0,3399.44,16162468,3399.44,0.0
2021-04-23,3390.33,3435.9333,3301.45,3340.88,13336845,3340.88,0.0
2021-04-30,3348.0,3554.0,3330.94,3467.42,28031459,3467.42,0.0
2021-05-07,3484.73,3486.645,3247.2,3291.61,24184259,3291.61,0.0
2021-05-14,3282.32,3283.0,3127.37,3222.9,22076693,3222.9,0.0
2021-05-21,3245.93,3312.0,3184.0,3203.08,15970098,3203.08,0.0
2021-05-28,3215.5,3295.73,3210.4993,3223.07,12960574,3223.07,0.0
2021-06-04,3243.495,3250.98,3184.03,3206.22,9092611,3206.22,0.0
2021-06-11,3197.33,3366.58,3172.2,3346.83,14381848,3346.83,0.0
2021-06-18,3346.83,3507.0,3335.5,3486.9,19532312,3486.9,0.0
2021-06-25,3476.42,3524.8599,3394.18,3401.46,17208549,3401.46,0.0
2021-07-02,3416.0,3511.72,3409.4206,3510.98,11958974,3510.98,0.0
2021-07-09,3530.11,3759.9855,3529.0,3719.34,21001690,3719.34,0.0
2021-07-16,3744.0,3773.0782,3570.455,3573.63,16943118,3573.63,0.0
2021-07-23,3532.58,3666.11,3499.16,3656.64,15060908,3656.64,0.0
2021-07-30,3673.17,3712.08,3306.98,3327.59,24334540,3327.59,0.0
2021-08-06,3353.1,3391.0,3299.77,3344.94,14766350,3344.94,0.0
2021-08-13,3343.61,3358.0,3269.67,3293.97,11866397,3293.97,0.0
2021-08-20,3283.0,3300.0,3175.76,3199.95,16662017,3199.95,0.0
2021-08-27,3211.9,3352.32,3210.005,3349.63,12001408,3349.63,0.0
2021-09-03,3357.425,3527.0,3355.22,3478.05,16682486,3478.05,0.0
2021-09-10,3478.0,3549.99,3462.9055,3469.15,10911058,3469.15,0.0
2021-09-17,3482.8,3497.96,3402.01,3462.52,14663610,3462.52,0.0
2021-09-24,3396.0,3429.26,3305.01,3425.52,14357066,3425.52,0.0
2021-10-01,3371.5,3415.57,3255.94,3283.26,16310187,3283.26,0.0
2021-10-08,3279.39,3325.746,3176.25,3288.62,14732534,3288.62,0.0
2021-10-15,3275.0,3410.42,3236.28,3409.02,13570821,3409.02,0.0
2021-10-22,3388.3576,3462.86,3331.3,3335.55,12720409,3335.55,0.0
2021-10-29,3335.0,3479.0,3273.32,3372.43,19821332,3372.43,0.0
2021-11-05,3361.8,3566.25,3283.55,3518.99,19891481,3518.99,0.0
2021-11-12,3523.24,3605.45,3447.05,3525.15,16259635,3525.15,0.0
2021-11-19,3537.0,3762.145,3525.1466,3676.57,18356801,3676.57,0.0
2021-11-26,3676.3768,3713.455,3504.15,3504.56,13859411,3504.56,0.0
2021-12-03,3547.6443,3596.0,3338.6,3389.79,18295497,3389.79,0.0
2021-12-10,3393.0,3549.99,3338.69,3444.24,14363798,3444.24,0.0
2021-12-17,3440.0,3483.32,3303.9,3400.35,17028527,3400.35,0.0
2021-12-23,3337.0,3441.0,3312.0,3421.37,10257609,3421.37,0.0
2021-12-31,3420.74,3458.86,3331.17,3334.34,11726577,3334.34,0.0
2022-01-07,3351.0,3428.0,3238.7442,3251.08,14873035,3251.08,0.0
2022-01-14,3211.71,3337.56,3126.09,3242.76,14914534,3242.76,0.0
2022-01-21,3182.1,3194.6899,2841.408,2852.86,17724960,2852.86,0.0
2022-01-28,2780.0,2903.695,2707.04,2879.56,24718944,2879.56,0.0
2022-02-04,2895.0,3224.0,2766.66,3152.79,35192213,3152.79,0.0
2022-02-11,3170.4,3276.69,3054.675,3065.87,19640945,3065.87,0.0
