date,open,high,low,close,volume,adjusted_close,dividend
2020-01-03,1356.81,1373.75,1332.13,1361.52,4511547,1361.52,0.0
2020-01-10,1351.63,1434.94,1351.0,1428.96,8806689,1428.96,0.0
2020-01-17,1435.25,1480.55,1425.37,1479.52,7833938,1479.52,0.0
2020-01-24,1479.0,1500.58,1463.18,1466.17,6631966,1466.17,0.0
2020-01-31,1431.54,1469.67,1419.5,1432.78,7821663,1432.78,0.0
2020-02-07,1461.65,1486.3,1422.03,1479.11,13530648,1479.11,0.0
2020-02-14,1477.23,1529.88,1475.2,1518.73,7515370,1518.73,0.0
2020-02-21,1514.34,1530.74,1478.49,1483.46,5846578,1483.46,0.0
2020-02-28,1423.05,1436.85,1268.21,1339.25,14672559,1339.25,0.0
2020-03-06,1351.39,1408.19,1257.21,1295.74,13932728,1295.74,0.0
2020-03-13,1204.96,1275.85,1108.47,1214.27,17634104,1214.27,0.0
2020-03-20,1089.61,1152.61,1037.0,1068.21,21469652,1068.21,0.0
2020-03-27,1056.37,1171.48,1008.87,1110.26,19297309,1110.26,0.0
2020-04-03,1132.64,1173.4,1075.08,1092.7,14188545,1092.7,0.0
2020-04-09,1133.0,1221.99,1125.0,1206.57,10965082,1206.57,0.0
2020-04-17,1201.5,1290.0,1182.33,1279.0,12662413,1279.0,0.0
2020-04-24,1269.89,1288.15,1205.0,1276.6,10144930,1276.6,0.0
2020-05-01,1292.0,1360.15,1230.38,1317.32,16897906,1317.32,0.0
2020-05-08,1308.13,1396.64,1296.01,1384.34,8312600,1384.34,0.0
2020-05-15,1376.79,1415.53,1323.3,1373.06,9260350,1373.06,0.0
2020-05-22,1361.58,1417.0,1354.2,1413.24,8813466,1413.24,0.0
2020-05-29,1441.96,1445.11,1394.6,1433.52,7425982,1433.52,0.0
2020-06-05,1425.7,1449.01,1406.01,1440.02,7299418,1440.02,0.0
2020-06-12,1426.28,1472.77,1385.8,1412.92,9154151,1412.92,0.0
2020-06-19,1389.49,1462.2,1387.2,1424.64,8975216,1424.64,0.0
2020-06-26,1425.01,1475.79,1355.0,1362.54,11019155,1362.54,0.0
2020-07-02,1360.34,1488.52,1351.65,1469.93,9238766,1469.93,0.0
2020-07-10,1488.15,1541.34,1476.98,1539.01,9830204,1539.01,0.0
2020-07-17,1549.94,1576.36,1485.93,1516.85,8641939,1516.85,0.0
2020-07-24,1515.0,1587.05,1487.59,1508.21,7233702,1508.21,0.0
2020-07-31,1513.26,1540.89,1454.0,1487.95,10413995,1487.95,0.0
2020-08-07,1491.0,1520.09,1464.03,1498.37,8645767,1498.37,0.0
