date,open,high,low,close,volume,adjusted_close,dividend
2020-01-03,207.86,210.4,203.6,208.67,42785320,208.67,0.0
2020-01-10,206.7,219.88,206.52,218.06,70485432,218.06,0.0
2020-01-17,219.6,222.63,218.63,222.14,63568726,222.14,0.0
2020-01-24,222.16,222.75,216.11,217.94,49475645,217.94,0.0
2020-01-31,213.1,224.2,201.06,201.91,140969912,201.91,0.0
2020-02-07,203.44,212.82,202.5,212.33,70487616,212.33,0.0
2020-02-14,211.52,214.93,206.51,214.18,76839236,214.18,0.0
2020-02-21,213.55,218.77,208.83,210.18,54972785,210.18,0.0
2020-02-28,201.8,203.65,181.82,192.47,115334874,192.47,0.0
2020-03-06,194.03,197.24,176.26,181.09,119888507,181.09,0.0
2020-03-13,169.6,178.29,154.34,170.28,153158998,170.28,0.0
2020-03-20,152.32,159.93,137.1,149.73,183359861,149.73,0.0
2020-03-27,149.66,164.0,142.25,156.79,146914295,156.79,0.0
2020-04-03,159.18,170.93,150.83,154.18,112568693,154.18,0.0
2020-04-09,160.15,177.08,158.51,175.19,105063985,175.19,0.0
2020-04-17,173.67,181.23,169.45,179.24,102358152,179.24,0.0
2020-04-24,177.41,190.41,168.34,190.07,124626255,190.07,0.0
2020-05-01,192.66,209.69,182.56,202.27,173528954,202.27,0.0
2020-05-08,200.2,213.21,198.76,212.35,89854883,212.35,0.0
2020-05-15,210.89,215.28,200.69,210.88,84863255,210.88,0.0
2020-05-22,212.15,237.2,210.94,234.91,183676949,234.91,0.0
2020-05-29,239.77,240.9,221.13,225.09,120621360,225.09,0.0
2020-06-05,224.59,233.0,223.5,230.77,88315058,230.77,0.0
2020-06-12,229.03,241.21,223.55,228.58,112449630,228.58,0.0
2020-06-19,225.09,240.83,224.8,238.79,96018823,238.79,0.0
2020-06-26,238.56,245.19,215.4,216.08,158818879,216.08,0.0
2020-07-02,209.75,240.0,207.11,233.42,166481188,233.42,0.0
2020-07-10,233.76,247.65,232.27,245.07,129047378,245.07,0.0
2020-07-17,247.01,250.15,232.03,242.03,104220779,242.03,0.0
2020-07-24,240.06,246.91,226.9,230.71,94969728,230.71,0.0
2020-07-31,231.46,255.85,229.0,253.67,114566855,253.67,0.0
2020-08-07,252.65,278.89,247.43,268.44,171413972,268.44,0.0
2020-08-14,268.04,273.86,255.13,261.24,112082116,261.24,0.0
2020-08-21,262.5,270.49,259.26,267.01,91123323,267.01,0.0
2020-08-28,271.07,304.67,268.7701,293.66,182301718,293.66,0.0
2020-09-04,293.95,303.6,271.14,282.73,121635138,282.73,0.0
2020-09-11,271.28,279.3,262.64,266.61,91511318,266.61,0.0
2020-09-18,270.95,276.64,250.05,252.53,131192162,252.53,0.0
2020-09-25,247.54,257.9921,244.13,254.82,113001808,254.82,0.0
2020-10-02,259.4,268.33,254.8208,259.94,95561702,259.94,0.0
2020-10-09,262.2,265.69,254.82,264.45,85073151,264.45,0.0
2020-10-16,270.2,280.18,263.67,265.93,96722519,265.93,0.0
2020-10-23,265.53,285.24,259.88,284.79,95604020,284.79,0.0
2020-10-30,283.16,285.23,259.1,263.11,140399102,263.11,0.0
2020-11-06,264.6,297.38,257.34,293.41,118206569,293.41,0.0
2020-11-13,289.87,292.58,264.0,276.95,92456598,276.95,0.0
2020-11-20,275.05,279.41,269.19,269.7,71249664,269.7,0.0
2020-11-27,270.89,280.18,264.53,277.81,58118722,277.81,0.0
2020-12-04,276.03,291.78,271.01,279.7,78459068,279.7,0.0
2020-12-11,279.19,288.49,270.25,273.55,83401514,273.55,0.0
2020-12-18,273.3722,280.44,267.47,276.4,99312433,276.4,0.0
2020-12-24,272.978,274.67,264.63,267.4,54919810,267.4,0.0
2020-12-31,268.74,280.51,265.66,273.16,64210583,273.16,0.0
2021-01-08,274.78,275.0,260.01,267.57,83649826,267.57,0.0
2021-01-15,260.48,263.47,244.61,251.36,130395686,251.36,0.0
2021-01-22,256.9,278.47,252.7201,274.5,96021194,274.5,0.0
2021-01-29,278.14,286.79,254.85,258.33,141955163,258.33,0.0
2021-02-05,259.52,269.2,254.91,268.1,82616337,268.1,0.0
2021-02-12,268.75,273.7999,265.0,270.5,64289912,270.5,0.0
2021-02-19,270.8,276.6,260.15,261.56,68908015,261.56,0.0
2021-02-26,257.95,267.46,254.04,257.62,99703327,257.62,0.0
2021-03-05,260.82,266.71,253.5,264.28,111309010,264.28,0.0
2021-03-12,265.55,277.9,255.05,268.4,97076003,268.4,0.0
2021-03-19,269.08,292.8,268.5,290.11,118294844,290.11,0.0
2021-03-26,290.45,299.705,277.75,283.02,112083881,283.02,0.0
2021-04-01,285.77,302.4,284.7,298.66,76307505,298.66,0.0
2021-04-09,300.89,315.88,300.68,312.46,105310209,312.46,0.0
2021-04-16,311.05,314.428,301.95,306.18,69957691,306.18,0.0
2021-04-23,305.007,307.7,296.04,301.13,80148271,301.13,0.0
2021-04-30,303.3396,331.81,301.11,325.08,148248253,325.08,0.0
2021-05-07,326.17,328.55,313.12,319.08,93258608,319.08,0.0
2021-05-14,314.35,316.85,298.19,315.94,105125150,315.94,0.0
2021-05-21,313.55,319.93,303.57,316.23,79951132,316.23,0.0
2021-05-28,318.21,333.78,318.03,328.73,75084394,328.73,0.0
2021-06-04,330.15,332.455,323.48,330.35,49320352,330.35,0.0
2021-06-11,329.48,338.2999,328.545,331.26,75273262,331.26,0.0
2021-06-18,331.9,339.92,328.72,329.66,85910843,329.66,0.0
2021-06-25,331.09,344.9,327.65,341.37,68424185,341.37,0.0
2021-07-02,342.46,358.14,341.77,354.7,94342586,354.7,0.0
2021-07-09,356.5,358.79,342.56,350.42,55132472,350.42,0.0
2021-07-16,351.23,358.49,340.14,341.16,61176495,341.16,0.0
2021-07-23,337.57,375.33,334.5,369.79,80756048,369.79,0.0
2021-07-30,369.58,377.5499,352.94,356.3,108494684,356.3,0.0
2021-08-06,358.1,365.15,347.7,363.51,58939289,363.51,0.0
2021-08-13,363.7623,365.775,357.11,363.18,38028702,363.18,0.0
2021-08-20,362.52,366.95,351.0,359.37,54305589,359.37,0.0
2021-08-27,359.44,373.74,359.1,372.63,48969499,372.63,0.0
2021-09-03,372.56,384.33,370.52,376.26,59809404,376.26,0.0
2021-09-10,375.88,383.79,373.15,378.69,42514622,378.69,0.0
2021-09-17,381.68,381.75,361.59,364.72,77911324,364.72,0.0
2021-09-24,359.3,361.03,340.6901,352.96,115875745,352.96,0.0
2021-10-01,349.805,355.15,338.15,343.01,82820775,343.01,0.0
2021-10-08,335.53,338.84,322.7,330.05,148959498,330.05,0.0
2021-10-15,327.625,330.52,317.37,324.76,97026902,324.76,0.0
2021-10-22,328.95,343.98,321.11,324.61,105589765,324.61,0.0
2021-10-29,320.3,330.2099,308.11,323.57,221900985,323.57,0.0
2021-11-05,326.04,346.79,323.2,341.13,129578076,341.13,0.0
2021-11-12,344.42,344.789,325.51,340.89,95160268,340.89,0.0
2021-11-19,344.34,353.65,335.3,345.3,100836297,345.3,0.0
2021-11-26,349.05,353.83,331.902,333.12,72658715,333.12,0.0
2021-12-03,336.89,340.67,299.5,306.84,124292219,306.84,0.0
2021-12-10,308.13,336.13,306.34,329.75,91897246,329.75,0.0
2021-12-17,330.95,344.46,323.98,333.79,130738667,333.79,0.0
2021-12-23,329.775,336.67,322.53,335.24,64770831,335.24,0.0
2021-12-31,338.845,352.71,336.27,336.35,68289517,336.35,0.0
2022-01-07,338.295,343.0854,322.72,331.79,93810173,331.79,0.0
2022-01-14,325.31,336.365,315.43,331.9,86904480,331.9,0.0
2022-01-21,323.29,327.82,303.04,303.17,88552375,303.17,0.0
2022-01-28,297.84,309.53,289.01,301.71,135895698,301.71,0.0
2022-02-04,300.68,328.0,230.11,237.09,375523722,237.09,0.0
2022-02-11,237.7,238.3,216.15,219.55,365374072,219.55,0.0
2022-02-18,219.31,221.15,205.18,206.16,202562936,206.16,0.0
2022-02-25,202.34,211.32,190.22,210.48,171770071,210.48,0.0
2022-03-04,207.675,213.1508,198.79,200.06,150196640,200.06,0.0
2022-03-11,200.79,200.89,186.11,187.61,167510962,187.61,0.0
2022-03-18,187.03,216.8,185.82,216.49,184107129,216.49,0.0
2022-03-25,214.5,225.5,207.63,221.82,155942191,221.82,0.0
2022-04-01,222.13,231.151,219.54,224.85,126967068,224.85,0.0
2022-04-08,225.98,236.86,218.56,222.33,126033890,222.33,0.0
2022-04-14,218.42,222.03,210.0,210.18,78256684,210.18,0.0
2022-04-22,210.0,218.4299,183.27,184.11,165911103,184.11,0.0
2022-04-29,182.73,212.48,169.0,200.47,281300784,200.47,0.0
2022-05-06,201.165,224.3,200.99,203.77,208545251,203.77,0.0
2022-05-13,199.84,202.96,184.78,198.62,164721144,198.62,0.0
2022-05-20,197.05,205.46,187.87,193.54,131857798,193.54,0.0
2022-05-27,195.19,196.9924,176.11,195.13,149114810,195.13,0.0
2022-06-03,194.885,200.935,185.0,190.78,114171173,190.78,0.0
2022-06-10,193.99,202.03,175.02,175.57,122650016,175.57,0.0
2022-06-17,170.59,172.575,159.61,163.74,147320187,163.74,0.0
2022-06-24,165.93,170.25,154.25,170.16,207556926,170.16,0.0
2022-07-01,171.32,171.75,155.0,160.03,152233058,160.03,0.0
2022-07-08,158.14,172.72,157.02,170.88,95083331,170.88,0.0
2022-07-15,167.065,167.49,157.2801,164.7,102207905,164.7,0.0
2022-07-22,166.75,183.85,165.64,169.27,144072021,169.27,0.0
2022-07-29,169.0,170.87,154.85,159.1,213761028,159.1,0.0
2022-08-05,157.25,172.15,155.2301,167.11,149459658,167.11,0.0
2022-08-12,168.0,183.1,166.6,180.5,121569409,180.5,0.0
2022-08-19,178.96,181.44,167.05,167.96,102238764,167.96,0.0
2022-08-26,165.49,170.92,159.77,161.78,98077116,161.78,0.0
