date,open,high,low,close,volume,adjusted_close,dividend
2020-01-03,158.99,160.73,156.45,158.62,78506330,158.62,0.0
2020-01-10,157.08,163.22,156.51,161.34,112604365,161.34,0.0
2020-01-17,161.76,167.47,161.26,167.1,121822087,167.1,0.0
2020-01-24,166.68,168.19,164.45,165.04,97961146,165.04,0.0
2020-01-31,161.15,174.05,160.2,170.23,179845938,170.23,0.0
2020-02-07,170.43,185.63,170.4,183.89,167049170,183.89,0.0
2020-02-14,183.58,190.7,181.85,185.35,194512444,185.35,0.0
2020-02-21,185.61,188.18,177.25,178.59,143313345,178.59,0.0
2020-02-28,167.77,174.84,152.0,162.01,383019972,162.01,0.0
2020-03-06,165.31,175.0,156.0,161.57,313160520,161.57,0.0
2020-03-13,151.0,161.91,138.58,158.83,378231775,158.83,0.0
2020-03-20,140.0,150.15,135.0,137.35,421347734,137.35,0.0
2020-03-27,137.01,156.66,132.52,149.7,358866845,149.7,0.0
2020-04-03,152.44,164.78,150.01,153.83,290191457,153.83,0.0
2020-04-09,160.32,170.0,157.58,165.14,229630744,165.14,0.0
2020-04-17,164.35,180.0,162.3,178.6,238965670,178.6,0.0
2020-04-24,176.63,178.75,166.11,174.55,194621072,174.55,0.0
2020-05-01,176.59,180.4,169.39,174.57,212119968,174.57,0.0
2020-05-08,174.49,185.0,173.8,184.68,158579959,184.68,0.0
2020-05-15,183.15,187.51,175.68,183.16,196126640,183.16,0.0
2020-05-22,185.75,186.67,182.54,183.51,143226709,183.51,0.0
2020-05-29,186.34,186.5,176.6,183.25,151569299,183.25,0.0
2020-06-05,182.54,187.73,181.35,187.2,149429874,187.2,0.0
2020-06-12,185.94,198.52,184.44,187.74,203096094,187.74,0.0
2020-06-19,184.58,199.29,184.01,195.15,168517456,195.15,0.0
2020-06-26,195.79,203.95,194.88,196.33,182956736,196.33,0.0
2020-07-02,195.78,208.02,193.55,206.26,122405847,206.26,0.0
2020-07-10,208.83,216.38,207.99,213.67,158537665,213.67,0.0
2020-07-17,214.48,215.8,201.39,202.88,169559618,202.88,0.0
2020-07-24,205.0,213.94,197.51,201.3,230978319,201.3,0.0
2020-07-31,201.47,205.1,199.01,205.01,149372422,205.01,0.0
2020-08-07,211.52,217.64,210.31,212.48,217598950,212.48,0.0
2020-08-14,211.67,211.88,203.14,208.9,141752091,208.9,0.0
2020-08-21,209.6,216.25,208.91,213.02,132258021,213.02,0.0
2020-08-28,214.79,231.15,212.43,228.91,171999762,228.91,0.0
2020-09-04,227.0,232.86,205.19,214.25,206710590,214.25,0.0
2020-09-11,206.5,214.8399,201.24,204.03,167684903,204.03,0.0
2020-09-18,204.24,210.65,196.25,200.39,167808757,200.39,0.0
2020-09-25,197.19,209.04,196.38,207.82,164800307,207.82,0.0
2020-10-02,210.88,213.99,205.54,206.19,150611695,206.19,0.0
2020-10-09,207.22,215.86,204.82,215.81,121950760,215.81,0.0
2020-10-16,218.79,225.21,216.01,219.66,141654870,219.66,0.0
2020-10-23,220.415,222.3,211.7,216.23,114335316,216.23,0.0
2020-10-30,213.85,216.3399,199.62,202.47,193420153,202.47,0.0
2020-11-06,204.29,224.36,200.12,223.72,161978002,223.72,0.0
2020-11-13,224.435,228.12,209.72,216.51,158127280,216.51,0.0
2020-11-20,214.87,217.74,209.93,210.39,125116110,210.39,0.0
2020-11-27,210.95,216.27,208.16,215.23,95039045,215.23,0.0
2020-12-04,214.1,217.32,210.835,214.36,137074249,214.36,0.0
2020-12-11,214.37,216.95,209.11,213.26,137791151,213.26,0.0
2020-12-18,213.1,220.89,212.24,218.59,186710444,218.59,0.0
